id,x_25833,y_25833,d_k1_mean_m,d_k3_mean_m,d_k5_mean_m,d_k10_mean_m,rmse
LFU_40496317,429940.0,5755137.0,3443.2840428869645,4515.803019444099,5144.955000061658,6901.090997386632,0.29590867671937415
LFU_40525009,462290.0,5749971.0,6036.681996858907,9265.024434697729,10663.899956058984,13049.966319457828,6.223200790999317
LFU_40525029,461839.44,5754622.02,4484.98322409348,8095.336206994766,10222.030054167655,12750.883117412746,2.0600475410722536
LFU_40536001,474793.0,5753570.0,4238.313343772496,5078.723481439365,5767.503224717775,8776.83250439581,0.563891475162884
LFU_40536005,469455.39,5754650.93,3035.856347128758,4032.2518317911076,6003.838343806247,9315.97792257703,0.5060164717846986
LFU_40536007,474326.48,5758009.53,3558.6068091459815,4449.955645789068,4945.12640332424,7499.262015347277,5.3315636741392245
LFU_40546013,480215.0,5755616.0,729.3791880770934,2143.5751679527366,4619.038274003328,8312.346421503995,2.160747748344561
LFU_40546034,479327.0,5755110.0,647.9753081715382,2196.422048473274,4606.569612549798,8281.4952054763,1.16234115135543
LFU_41476562,406921.0,5743422.0,3894.3725406022854,4069.4307417013565,4678.089655106368,8629.337108515236,17.129962020472558
LFU_42500025,437459.81,5737759.23,8997.94633063608,9353.682971279419,9744.815449617185,11410.183674557518,4.70979209905896
LFU_43473636,401635.0,5724335.0,0.0,5295.032080755575,9457.710396553412,14731.664666199684,0.2991210529449003
LFU_43506001,432210.95,5721910.43,5490.089743820363,6955.145604979152,8814.221299223671,12257.093583700102,9.7987300539868
LFU_43536002,476658.15,5721205.24,3341.3978615243523,4756.124374977538,5776.287820440923,8920.757157187028,1.4394706244671591
LFU_43540350,482490.85,5724723.77,2704.4542348688524,6104.418461407957,7345.525760162096,9961.763616096949,2.902519983121594
LFU_45453266,375342.01,5698850.98,1367.1043150027149,9316.079237329,11600.18717432881,18862.521460178315,1.6046215150546213
LFU_46489173,416053.6,5692346.4,5916.5565424491715,13464.095199948739,19204.285340027534,24980.51899500501,6.928386165336724
