split,feat,nRMSE_iqr,rmse_pw
rand,siwa_only,2.820688448631277,1.0461033990148045
rand,siwa_only,4.272319991612006,1.2524761881528472
rand,siwa_only,3.3596037055368257,1.2382447433511818
rand,siwa_only,3.0652363307494377,1.2133339680287294
rand,siwa_only,3.3007082816084665,1.4214997491795
rand,siwa_only,3.9138755090939554,1.3837292596082928
rand,siwa_only,3.0133884425183872,1.0181228505193423
rand,siwa_only,3.895029702987369,1.2089967581693037
rand,siwa_only,3.8031831542212458,1.4888166744434292
rand,siwa_only,3.455416243535265,1.3382171699698433
rand,siwa_gespannt,2.9438399223758274,1.1961300233724557
rand,siwa_gespannt,3.977926811197368,1.3354868487326907
rand,siwa_gespannt,2.843333549034596,1.3226492078232164
rand,siwa_gespannt,3.835856341957764,1.4197595478397318
rand,siwa_gespannt,2.8335825601032165,1.113325072678912
rand,siwa_gespannt,3.8844220586120572,1.4695778526869847
rand,siwa_gespannt,2.83635726725287,1.2031363666085249
rand,siwa_gespannt,3.6812623322261757,1.3356607122573285
rand,siwa_gespannt,4.2204238332763415,1.4483143039786561
rand,siwa_gespannt,3.0437738807210657,1.3037882268864325
rand,siwa_hydroraum,2.8490560969447287,1.2071665395367919
rand,siwa_hydroraum,2.721454572017676,1.0364996597524105
rand,siwa_hydroraum,2.439664903740481,1.3164290651558392
rand,siwa_hydroraum,2.475243180503825,1.0254150554049166
rand,siwa_hydroraum,2.7617333723342004,1.1031481182196887
rand,siwa_hydroraum,2.773778305632363,1.1109958547126895
rand,siwa_hydroraum,2.6070937060271575,0.9399651543576506
rand,siwa_hydroraum,4.058771828565409,1.7006749427864254
rand,siwa_hydroraum,3.0882915916048517,1.2848530089546368
rand,siwa_hydroraum,3.252702158162445,1.2501389814321797
rand,siwa_hydroraum_gespannt,2.9873384372423795,1.3969186323334948
rand,siwa_hydroraum_gespannt,3.339181790997646,1.2683640684036726
rand,siwa_hydroraum_gespannt,2.648057416763315,1.2464654490052678
rand,siwa_hydroraum_gespannt,3.3334274382957436,1.4297665385022882
rand,siwa_hydroraum_gespannt,3.0794668201035145,1.1665675846954593
rand,siwa_hydroraum_gespannt,3.5449745809082813,1.3117272931773711
rand,siwa_hydroraum_gespannt,2.921278510096388,1.1011067334733988
rand,siwa_hydroraum_gespannt,4.92274799254156,1.797573874399401
rand,siwa_hydroraum_gespannt,3.713473481143816,1.5868547080573014
rand,siwa_hydroraum_gespannt,2.9348950935951414,1.2641173930951095
rand,fok_only,2.673451298198636,0.8994019186446462
rand,fok_only,2.276551900044944,1.016025242629098
rand,fok_only,2.8333607228831514,1.190589357504464
rand,fok_only,2.934472235859892,1.1631376204402377
rand,fok_only,2.671191301652139,1.0754405018197573
rand,fok_only,2.258431743291204,0.9046313965758814
rand,fok_only,2.9487120430297695,1.025602957329917
rand,fok_only,2.941715735354048,1.0726151898894685
rand,fok_only,4.031691480367007,1.3375294965939606
rand,fok_only,2.861250655025533,1.0168739229475194
rand,fuk_only,2.802407766206408,0.9454293908081526
rand,fuk_only,2.3291825680587808,1.0102430357310406
rand,fuk_only,2.9386434077551513,1.1806825782079695
rand,fuk_only,3.1502581623520287,1.1460324110365392
